,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0
0,"10.801748, 106.663951",2020-01-01,34.5,22.0,28.6,33.9,22.0,29.4,18.6,57.5,0.0,0,0.0,,0,0,25.6,18.4,52.0,1013.9,31.6,9.5,235.7,20.2,9,,2020-01-01 06:11:28,2020-01-01 17:41:38,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
1,"10.801748, 106.663951",2020-01-02,35.1,23.0,28.8,36.4,23.0,30.3,20.0,61.2,0.0,0,0.0,,0,0,29.9,15.9,77.8,1014.2,44.5,9.5,228.7,19.8,8,,2020-01-02 06:11:53,2020-01-02 17:42:11,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
2,"10.801748, 106.663951",2020-01-03,34.0,23.5,28.5,34.8,23.5,29.4,20.2,63.5,0.0,0,0.0,,0,0,22.3,12.9,46.9,1013.1,39.4,10.0,203.5,17.7,8,,2020-01-03 06:12:16,2020-01-03 17:42:43,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
3,"10.801748, 106.663951",2020-01-04,33.0,23.5,27.7,33.7,23.5,28.5,20.7,68.2,0.0,0,0.0,,0,0,15.5,13.0,64.9,1011.4,37.1,9.7,160.2,14.0,6,,2020-01-04 06:12:38,2020-01-04 17:43:16,0.29,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS",
4,"10.801748, 106.663951",2020-01-05,32.5,22.5,27.2,33.0,22.5,28.1,20.1,67.1,0.0,0,0.0,,0,0,18.7,12.0,175.2,1011.5,29.3,9.7,193.6,16.7,7,,2020-01-05 06:13:00,2020-01-05 17:43:49,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
5,"10.801748, 106.663951",2020-01-06,33.5,23.0,28.0,34.3,23.0,28.9,20.4,66.5,0.0,0,0.0,,0,0,22.0,13.5,75.0,1011.6,37.0,8.9,221.8,19.2,8,,2020-01-06 06:13:21,2020-01-06 17:44:22,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999,48900099999,VVTS",
6,"10.801748, 106.663951",2020-01-07,34.5,24.0,29.4,36.2,24.0,31.0,21.0,62.8,0.0,0,0.0,,0,0,20.2,13.9,126.0,1010.6,43.6,9.3,223.3,19.2,8,,2020-01-07 06:13:42,2020-01-07 17:44:54,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
7,"10.801748, 106.663951",2020-01-08,34.5,25.0,28.8,36.9,25.0,30.6,22.4,71.3,0.1,100,4.17,rain,0,0,32.4,13.7,109.8,1010.3,42.3,9.3,212.1,18.2,8,,2020-01-08 06:14:01,2020-01-08 17:45:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS",
8,"10.801748, 106.663951",2020-01-09,35.0,23.5,28.5,36.6,23.5,29.6,20.9,66.9,0.0,0,0.0,,0,0,30.6,18.7,142.1,1009.2,32.2,9.3,232.3,20.2,8,,2020-01-09 06:14:19,2020-01-09 17:45:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
9,"10.801748, 106.663951",2020-01-10,34.0,23.5,28.8,35.8,23.5,29.9,20.5,63.4,0.0,0,0.0,,0,0,23.8,15.7,99.1,1008.9,35.7,9.8,225.2,19.7,8,,2020-01-10 06:14:37,2020-01-10 17:46:32,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS",
10,"10.801748, 106.663951",2020-01-11,32.0,24.0,27.9,34.6,24.0,29.8,22.7,74.7,0.1,100,4.17,rain,0,0,24.8,14.8,234.4,1009.3,40.2,8.2,191.1,16.5,8,,2020-01-11 06:14:54,2020-01-11 17:47:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS",
11,"10.801748, 106.663951",2020-01-12,32.0,24.5,27.4,35.0,24.5,29.0,22.8,77.1,10.0,100,4.17,rain,0,0,23.4,17.4,186.1,1009.3,51.9,8.6,169.4,14.7,7,,2020-01-12 06:15:10,2020-01-12 17:47:36,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS",
